name,distribution,totalTime,avgTimePerHash,avgDeviationFromPerfectPercentage,probeCount
"md4, md5, sha512","50 50",7501.3871192932,0.021432534626552,0.052,3
"md4, sha1, sha256","50 50",6714.3604755402,0.019183887072972,0.143,3
"md4, sha1, sha3-224","50 50",5876.476764679,0.016789933613368,0.23100000000001,3
"md4, sha1, sha512","50 50",7536.6687774658,0.021533339364188,0.227,3
"md4, sha256, sha3-224","50 50",7521.3046073914,0.021489441735404,0.121,3
"md4, sha256, sha512","50 50",9248.0001449585,0.026422857557024,0.087999999999994,3
"md4, sha3-224, sha512","50 50",8365.7281398773,0.023902080399649,0.128,3
"md5, sha1, sha256","50 50",6845.61419487,0.019558897699629,0.086000000000006,3
"md5, sha1, sha3-224","50 50",5962.436914444,0.017035534041268,0.18800000000001,3
"md5, sha1, sha512","50 50",7670.3209877014,0.021915202822004,0.05599999999999,3
"md5, sha256, sha3-224","50 50",7681.1678409576,0.021946193831308,0.141,3
"md5, sha256, sha512","50 50",9410.9432697296,0.026888409342085,0.042999999999999,3
"md5, sha3-224, sha512","50 50",8433.9020252228,0.024096862929208,0.032999999999994,3
"sha1, sha256, sha3-224","50 50",7701.6310691833,0.022004660197667,0.116,3
"sha1, sha256, sha512","50 50",9722.0656871796,0.027777330534799,0.16099999999999,3
"sha1, sha3-224, sha512","50 50",8379.6298503876,0.023941799572536,0.085000000000008,3
"sha256, sha3-224, sha512","50 50",10126.799821854,0.028933713776725,0.034000000000006,3
"crc32, md4, md5, sha1","50 50",6071.2902545929,0.017346543584551,0.069000000000003,4
"crc32, md4, md5, sha256","50 50",7921.0023880005,0.022631435394287,0.036999999999992,4
"crc32, md4, md5, sha3-224","50 50",7021.5182304382,0.020061480658395,0.079000000000001,4
"crc32, md4, md5, sha512","50 50",8512.0687484741,0.024320196424212,0.024999999999999,4
"crc32, md4, sha1, sha256","50 50",7743.7791824341,0.022125083378383,0.031000000000006,4
"crc32, md4, sha1, sha3-224","50 50",6757.0929527283,0.019305979864938,0.066999999999993,4
"crc32, md4, sha1, sha512","50 50",8462.2144699097,0.024177755628313,0.010000000000005,4
"crc32, md4, sha256, sha3-224","50 50",8537.4042987823,0.024392583710807,0.024999999999999,4
"crc32, md4, sha256, sha512","50 50",10226.183891296,0.029217668260847,0.15300000000001,4
"crc32, md4, sha3-224, sha512","50 50",9338.6170864105,0.02668176310403,0.121,4
"crc32, md5, sha1, sha256","50 50",8088.7467861176,0.023110705103193,0.141,4
"crc32, md5, sha1, sha3-224","50 50",7014.7893428802,0.020042255265372,0.191,4
"crc32, md5, sha1, sha512","50 50",8675.5270957947,0.024787220273699,0.224,4
"crc32, md5, sha256, sha3-224","50 50",8721.1852073669,0.024917672021048,0.191,4
"crc32, md5, sha256, sha512","50 50",10350.043296814,0.029571552276611,0.41,4
"crc32, md5, sha3-224, sha512","50 50",9499.5839595795,0.027141668455941,0.123,4
"crc32, sha1, sha256, sha3-224","50 50",8855.2312850952,0.025300660814558,0.075000000000003,4
"crc32, sha1, sha256, sha512","50 50",10355.182647705,0.0295862361363,0.198,4
"crc32, sha1, sha3-224, sha512","50 50",9513.2431983948,0.027180694852556,0.081000000000003,4
"crc32, sha256, sha3-224, sha512","50 50",11158.776044846,0.031882217270987,0.13700000000001,4
"md4, md5, sha1, sha256","50 50",8241.9281005859,0.023548366001674,0.0080000000000027,4
"md4, md5, sha1, sha3-224","50 50",7357.1045398712,0.021020298685346,0.117,4
"md4, md5, sha1, sha512","50 50",9000.6814002991,0.025716232572283,0.0040000000000049,4
"md4, md5, sha256, sha3-224","50 50",9081.1448097229,0.02594612802778,0.015999999999998,4
"md4, md5, sha256, sha512","50 50",10726.170301437,0.03064620086125,0.026000000000003,4
"md4, md5, sha3-224, sha512","50 50",9914.6738052368,0.028327639443534,0.13200000000001,4
"md4, sha1, sha256, sha3-224","50 50",9198.982000351,0.026282805715288,0.20500000000001,4
"md4, sha1, sha256, sha512","50 50",10843.501091003,0.030981431688581,0.136,4
"md4, sha1, sha3-224, sha512","50 50",9770.0319290161,0.027914376940046,0.027999999999999,4
"md4, sha256, sha3-224, sha512","50 50",11488.495349884,0.03282427242824,0.067999999999998,4
"md5, sha1, sha256, sha3-224","50 50",9110.2530956268,0.026029294558934,0.212,4
"md5, sha1, sha256, sha512","50 50",10823.704719543,0.030924870627267,0.148,4
"md5, sha1, sha3-224, sha512","50 50",9899.1348743439,0.028283242498125,0.063999999999993,4
"md5, sha256, sha3-224, sha512","50 50",11761.395931244,0.033603988374983,0.099999999999994,4
"sha1, sha256, sha3-224, sha512","50 50",11781.294822693,0.033660842350551,0.032999999999994,4
standard,"25 75",3834.5420360565,0.010955834388733,3.195,3
accurate,"25 75",8512.7501487732,0.024322143282209,2.892,5
"crc32, md4","25 75",2982.3410511017,0.0085209744317191,3.085,2
"crc32, md5","25 75",3109.375,0.0088839285714286,3.005,2
"crc32, sha1","25 75",3150.1131057739,0.0090003231593541,3.14,2
"crc32, sha256","25 75",4954.2734622955,0.01415506703513,3.054,2
"crc32, sha3-224","25 75",3984.5206737518,0.011384344782148,3.046,2
"crc32, sha512","25 75",5653.8083553314,0.01615373815809,3.219,2
"md4, md5","25 75",3442.1420097351,0.009834691456386,9.123,2
"md4, sha1","25 75",3442.3940181732,0.0098354114804949,9.272,2
"md4, sha256","25 75",5254.9176216125,0.015014050347464,9.121,2
"md4, sha3-224","25 75",4272.0899581909,0.012205971309117,9.056,2
"md4, sha512","25 75",5946.4385509491,0.016989824431283,9.008,2
"md5, sha1","25 75",3644.6912288666,0.010413403511047,9.297,2
"md5, sha256","25 75",5345.4411029816,0.015272688865662,9.189,2
"md5, sha3-224","25 75",4396.9004154205,0.012562572615487,9.169,2
"md5, sha512","25 75",6079.3089866638,0.017369454247611,8.985,2
"sha1, sha256","25 75",5325.3316879272,0.015215233394078,9.221,2
"sha1, sha3-224","25 75",4407.0682525635,0.012591623578753,9.123,2
"sha1, sha512","25 75",6094.2130088806,0.01741203716823,9.199,2
"sha256, sha3-224","25 75",6178.0281066895,0.017651508876256,9.074,2
"sha256, sha512","25 75",7878.6561489105,0.022510446139744,9.137,2
"sha3-224, sha512","25 75",6967.2765731812,0.019906504494803,8.856,2
"crc32, md4, md5","25 75",4671.0913181305,0.013345975194659,3.362,3
"crc32, md4, sha1","25 75",4650.6159305573,0.013287474087306,3.521,3
"crc32, md4, sha256","25 75",6323.0490684509,0.018065854481288,3.39,3
"crc32, md4, sha3-224","25 75",5433.1719875336,0.01552334853581,3.45,3
"crc32, md4, sha512","25 75",7245.8624839783,0.020702464239938,3.369,3
"crc32, md5, sha1","25 75",4696.9208717346,0.013419773919242,3.528,3
"crc32, md5, sha256","25 75",6443.8774585724,0.018411078453064,3.323,3
"crc32, md5, sha3-224","25 75",5485.7757091522,0.015673644883292,3.346,3
"crc32, md5, sha512","25 75",7264.5366191864,0.020755818911961,3.46,3
"crc32, sha1, sha256","25 75",6446.3789463043,0.018418225560869,3.423,3
"crc32, sha1, sha3-224","25 75",5531.7027568817,0.015804865019662,3.407,3
"crc32, sha1, sha512","25 75",7282.9020023346,0.020808291435242,3.569,3
"crc32, sha256, sha3-224","25 75",7215.5828475952,0.020615950993129,3.247,3
"crc32, sha256, sha512","25 75",9416.1279201508,0.026903222629002,3.447,3
"crc32, sha3-224, sha512","25 75",7925.7748126984,0.022645070893424,3.288,3
"md4, md5, sha1","25 75",4972.7187156677,0.014207767759051,6.278,3
"md4, md5, sha256","25 75",6734.3385219574,0.019240967205593,6.167,3
"md4, md5, sha3-224","25 75",5820.2283382416,0.016629223823547,6.257,3
"md4, md5, sha512","25 75",7537.7378463745,0.021536393846784,6.019,3
"md4, sha1, sha256","25 75",6738.734960556,0.019253528458732,6.309,3
"md4, sha1, sha3-224","25 75",5915.5218601227,0.016901491028922,6.186,3
"md4, sha1, sha512","25 75",7473.240852356,0.021352116721017,6.285,3
"md4, sha256, sha3-224","25 75",7535.313129425,0.021529466084072,6.111,3
"md4, sha256, sha512","25 75",9238.9237880707,0.026396925108773,6.169,3
"md4, sha3-224, sha512","25 75",8251.1959075928,0.023574845450265,5.926,3
"md5, sha1, sha256","25 75",6906.6042900085,0.01973315511431,6.344,3
"md5, sha1, sha3-224","25 75",5995.4886436462,0.017129967553275,6.253,3
"md5, sha1, sha512","25 75",7618.7281608582,0.021767794745309,6.231,3
"md5, sha256, sha3-224","25 75",7662.7695560455,0.021893627302987,6.218,3
"md5, sha256, sha512","25 75",9431.0402870178,0.026945829391479,6.143,3
"md5, sha3-224, sha512","25 75",8409.3627929688,0.024026750837054,6.019,3
"sha1, sha256, sha3-224","25 75",7730.623960495,0.022087497029986,6.241,3
"sha1, sha256, sha512","25 75",9430.2880764008,0.026943680218288,6.223,3
"sha1, sha3-224, sha512","25 75",8443.6619281769,0.02412474836622,6.05,3
"sha256, sha3-224, sha512","25 75",10038.386106491,0.028681103161403,6.041,3
"crc32, md4, md5, sha1","25 75",6083.9912891388,0.017382832254682,3.235,4
"crc32, md4, md5, sha256","25 75",7828.8760185242,0.022368217195783,3.094,4
"crc32, md4, md5, sha3-224","25 75",6914.8347377777,0.019756670679365,3.213,4
